EventName	EventType	EventTypeId	Country	City	ContinentCode	Subcontinent	StartDateTime	EndDateTime	EventId	Event_Tier_Name
2021 ITTF Pan American Championships	Continental Championships	79	Peru	Lima	americas	south america	2021-11-13T00:00:00	2021-11-19T00:00:00	2234	
Tokyo 2020 Olympic Games	Olympic Games	38	Japan	Tokyo 	asia	east asia	2021-07-23T00:00:00	2021-08-08T00:00:00	2345	
2021 World Table Tennis Championships Finals	WTTC	37	USA	Houston	americas	northern america	2021-11-23T00:00:00	2021-11-29T00:00:00	2346	
WTT Contender Doha 2021	WTT Contender	34	Qatar	Doha	asia	west asia	2021-02-28T11:30:00	2021-03-06T23:59:59	2410	
WTT Star Contender Doha 2021	WTT Star Contender	35	Qatar	Doha	asia	west asia	2021-03-05T19:30:00	2021-03-13T23:59:00	2411	
2021 ITTF African Championships	Continental Championships	79	Cameroon	Yaoundé	africa	central africa	2021-09-01T00:00:00	2021-09-07T00:00:00	2473	
2021 ITTF Finlandia International Open	ITTF International Open	80	Finland	Lohja	europe	northern europe	2021-12-02T00:00:00	2021-12-05T00:00:00	2479	
2021 ITTF Czech International Open	ITTF International Open	80	Czechia	Olomouc	europe	eastern europe	2021-08-21T00:00:00	2021-08-25T00:00:00	2480	
2021 ITTF-Oceania Cup and Pacific Cup	Continental Championships	79	New Zealand	Hamilton	oceania	australasia	2021-09-09T00:00:00	2021-09-10T00:00:00	2482	
2021 ITTF Kazakhstan International Open	ITTF International Open	80	Kazakhstan	Karaganda	asia	middle asia	2021-09-15T00:00:00	2021-09-19T00:00:00	2484	
WTT Contender Budapest 2021	WTT Contender	34	Hungary	Budapest	europe	eastern europe	2021-08-15T00:00:00	2021-08-20T00:00:00	2487	
WTT Star Contender Doha 2021	WTT Star Contender	35	Qatar	Doha	asia	west asia	2021-09-20T00:00:00	2021-09-25T00:00:00	2489	
WTT Contender Tunis 2021	WTT Contender	34	Tunisia	Tunis	africa	north africa	2021-10-24T00:00:00	2021-10-30T00:00:00	2502	
WTT Contender Laško 2021 presented by I Feel Slovenia	WTT Contender	34	Slovenia	Laško	europe	southern europe	2021-11-01T00:00:00	2021-11-07T00:00:00	2503	
WTT Contender Novo Mesto 2021 presented by I Feel Slovenia	WTT Contender	34	Slovenia	Laško	europe	southern europe	2021-11-08T00:00:00	2021-11-14T00:00:00	2504	
2021 ITTF Ecuador International Open	ITTF International Open	80	Ecuador	Cuenca	americas	south america	2021-11-02T00:00:00	2021-11-06T00:00:00	2510	
ITTF World Youth Championships	ITTF International Open	80	Portugal	Vila Nova De Gaia	europe	southern europe	2021-12-02T00:00:00	2021-12-08T00:00:00	2511	
2021  ITTF Argentina International Open	ITTF International Open	80	Argentina	Buenos Aires	americas	south america	2021-12-15T00:00:00	2021-12-18T00:00:00	2513	
World Parkinson Table Tennis Championships	World Championships	2	Germany	Berlin	europe	western europe	2021-09-09T00:00:00	2021-09-11T00:00:00	2514	
Central American Veteran Championships	World Championships	2	El Salvador	El Salvador	americas	central america	2021-09-14T00:00:00	2021-09-18T00:00:00	2515	
WTT Cup Finals Singapore	WTT Cup Finals	91	Singapore	Singapore	asia	south east asia	2021-12-04T00:00:00	2021-12-07T00:00:00	2516	
WTT Feeder Düsseldorf	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2021-12-07T00:00:00	2021-12-10T00:00:00	2519	
WTT Feeder Düsseldorf I	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2022-01-12T00:00:00	2022-01-15T00:00:00	2521	
WTT Feeder Düsseldorf II	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2022-01-17T00:00:00	2022-01-20T00:00:00	2522	
