event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2410	TTEWSINGLES-----------FNL-000100--	S	W	FNL	000100	3464	2021-03-06 11:00:00	117821		123672		4	2	11-9,11-8,6-11,9-11,11-9,11-6
2410	TTEXDOUBLES-----------FNL-000100--	D	X	FNL	000100	3201	2021-03-06 08:20:00	121582	110797	105136	137894	3	2	11-7,11-13,11-6,16-18,11-4
2410	TTEMSINGLES-----------FNL-000100--	S	M	FNL	000100	2884	2021-03-06 11:40:00	107028		121582		4	1	11-7,14-12,12-10,6-11,11-6
2410	TTEWDOUBLES-----------FNL-000100--	D	W	FNL	000100	1481	2021-03-06 07:00:00	117820	110752	114706	114105	3	0	11-6,11-8,11-6
2410	TTEMDOUBLES-----------FNL-000100--	D	M	FNL	000100	3019	2021-03-06 07:40:00	105197	123971	100486	119316	3	2	11-3,9-11,11-7,9-11,13-11
2410	TTEMSINGLES-----------SFNL000100--	S	M	SFNL	000100	2564	2021-03-05 17:00:00	123980		107028		2	4	11-8,11-6,9-11,4-11,3-11,7-11
2410	TTEMSINGLES-----------SFNL000200--	S	M	SFNL	000200	2350	2021-03-05 16:20:00	121582		112062		4	1	11-7,8-11,11-3,11-8,11-9
2410	TTEWSINGLES-----------SFNL000100--	S	W	SFNL	000100	2859	2021-03-05 15:00:00	117821		111628		4	1	11-13,11-7,11-9,11-5,13-11
2410	TTEWDOUBLES-----------SFNL000200--	D	W	SFNL	000200	2397	2021-03-05 12:35:00	114706	114105	118994	112368	3	2	5-11,11-4,8-11,11-7,11-9
2410	TTEWDOUBLES-----------SFNL000100--	D	W	SFNL	000100	2157	2021-03-05 13:15:00	117820	110752	131036	123672	3	1	14-12,5-11,11-7,11-8
2410	TTEMDOUBLES-----------SFNL000100--	D	M	SFNL	000100	1772	2021-03-05 13:15:00	105197	123971	101648	101820	3	1	11-9,11-6,9-11,11-7
2410	TTEWSINGLES-----------SFNL000200--	S	W	SFNL	000200	2183	2021-03-05 15:40:00	123672		131036		4	0	11-6,11-6,11-6,17-15
2410	TTEXDOUBLES-----------SFNL000100--	D	X	SFNL	000100	556	2021-03-05 13:15:00	121582	110797	111012	103903	3	0	11-7,11-3,11-5
2410	TTEMDOUBLES-----------SFNL000200--	D	M	SFNL	000200	3317	2021-03-05 12:35:00	110673	112035	100486	119316	2	3	8-11,12-10,10-12,11-7,13-15
2410	TTEXDOUBLES-----------SFNL000200--	D	X	SFNL	000200	2638	2021-03-05 17:00:00	105197	118994	105136	137894	2	3	11-7,12-14,11-6,7-11,2-11
2410	TTEXDOUBLES-----------QFNL000100--	D	X	QFNL	000100	1195	2021-03-05 07:00:00	121582	110797	111656	100696	3	0	11-7,11-5,11-6
2410	TTEMSINGLES-----------QFNL000300--	S	M	QFNL	000300	2540	2021-03-05 11:55:00	112092		121582		1	3	8-11,9-11,17-15,9-11
2410	TTEWDOUBLES-----------QFNL000100--	D	W	QFNL	000100	2287	2021-03-04 11:55:00	117820	110752	112356	137894	3	2	11-4,11-3,10-12,10-12,11-5
2410	TTEWSINGLES-----------QFNL000300--	S	W	QFNL	000300	2550	2021-03-05 12:20:00	111849		123672		2	3	8-11,11-5,11-8,8-11,3-11
2410	TTEXDOUBLES-----------QFNL000200--	D	X	QFNL	000200	1560	2021-03-05 07:15:00	111012	103903	104359	120187	3	1	8-11,11-4,11-7,11-9
2410	TTEXDOUBLES-----------QFNL000300--	D	X	QFNL	000300	1171	2021-03-05 07:15:00	111050	111072	105197	118994	0	3	3-11,7-11,7-11
2410	TTEMSINGLES-----------QFNL000200--	S	M	QFNL	000200	3338	2021-03-05 13:00:00	112074		107028		2	3	4-11,14-12,4-11,13-11,7-11
2410	TTEMDOUBLES-----------QFNL000400--	D	M	QFNL	000400	2748	2021-03-04 07:55:00	100486	119316	114715	116620	3	2	11-5,9-11,11-4,4-11,16-14
2410	TTEWDOUBLES-----------QFNL000300--	D	W	QFNL	000300	2604	2021-03-04 11:15:00	100868	105913	114706	114105	2	3	13-15,11-8,8-11,11-6,8-11
2410	TTEMSINGLES-----------QFNL000400--	S	M	QFNL	000400	2472	2021-03-05 12:35:00	112062		115641		3	2	6-11,8-11,11-7,11-5,11-8
2410	TTEWDOUBLES-----------QFNL000400--	D	W	QFNL	000400	1742	2021-03-04 11:15:00	118786	111628	118994	112368	0	3	8-11,6-11,9-11
2410	TTEWSINGLES-----------QFNL000100--	S	W	QFNL	000100	1777	2021-03-05 11:00:00	117821		112368		3	0	11-8,12-10,11-9
2410	TTEWSINGLES-----------QFNL000400--	S	W	QFNL	000400	3068	2021-03-05 11:15:00	118994		131036		2	3	8-11,13-11,11-8,9-11,6-11
2410	TTEMDOUBLES-----------QFNL000300--	D	M	QFNL	000300	2447	2021-03-04 07:55:00	110673	112035	114709	114848	3	2	11-8,10-12,12-10,6-11,11-3
2410	TTEMDOUBLES-----------QFNL000200--	D	M	QFNL	000200	901	2021-03-04 07:15:00	101648	101820	104359	107445	3	0	11-4,11-9,11-0
2410	TTEWSINGLES-----------QFNL000200--	S	W	QFNL	000200	1642	2021-03-05 11:15:00	111628		111833		3	0	12-10,11-6,11-2
2410	TTEMSINGLES-----------QFNL000100--	S	M	QFNL	000100	2116	2021-03-05 11:40:00	123980		123971		3	1	13-15,11-7,11-7,11-9
