event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2591	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	2612	2022-07-17 11:05:53	124110		131163		4	1	9-11,11-9,11-6,11-6,11-4
2591	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	2515	2022-07-16 14:05:03	121558	121411	123980	123672	3	2	9-11,6-11,11-7,11-7,11-9
2591	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	2799	2022-07-17 13:07:57	119588	115910	123971	105197	2	3	13-11,8-11,11-7,6-11,9-11
2591	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	2573	2022-07-17 12:06:16	121558		122044		4	1	11-7,9-11,11-6,13-11,11-7
2591	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2047	2022-07-17 14:12:32	131163	121411	123672	117821	3	0	14-12,11-6,15-13
2591	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	2173	2022-07-16 12:24:41	110752		124110		1	4	5-11,11-5,3-11,6-11,10-12
2591	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	809	2022-07-16 11:13:31	131163	121411	111012	107477	3	0	11-9,11-8,11-5
2591	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	2615	2022-07-16 13:10:38	122044		119588		4	2	13-11,5-11,11-6,7-11,11-8,11-7
2591	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	2391	2022-07-16 17:10:22	114105	105159	123672	117821	2	3	11-7,11-7,8-11,4-11,4-11
2591	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1887	2022-07-16 17:59:11	119588	115910	112442	102380	3	1	11-8,8-11,11-7,11-6
2591	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	0	2022-07-16 20:10:00	121411		131163		0	4	0-11,0-11,0-11,0-11
2591	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	1254	2022-07-15 15:06:18	103126	115920	123980	123672	0	3	9-11,9-11,7-11
2591	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1038	2022-07-15 15:32:46	112062	131100	121558	121411	0	3	6-11,4-11,6-11
2591	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	3453	2022-07-16 18:39:37	105649		121558		3	4	5-11,11-2,11-4,9-11,11-3,5-11,5-11
2591	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	2403	2022-07-16 11:36:22	123971	105197	105649	121558	3	2	11-6,5-11,11-9,5-11,11-7
2591	TTEWDOUBLES-----------QFNL000400----------	D	W	QFNL	000400	2743	2022-07-15 13:06:31	118994	112368	123672	117821	2	3	8-11,11-7,2-11,12-10,8-11
2591	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2719	2022-07-15 17:04:03	117357		119588		2	3	11-13,15-13,11-4,2-11,3-11
2591	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1269	2022-07-15 13:03:34	106814	113931	119588	115910	0	3	10-12,4-11,3-11
2591	TTEWSINGLES-----------QFNL000400----------	S	W	QFNL	000400	1672	2022-07-15 18:40:34	123672		131163		0	3	11-13,8-11,6-11
2591	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1058	2022-07-14 14:03:08	111050	111072	103126	115920	0	3	3-11,6-11,5-11
2591	TTEWDOUBLES-----------QFNL000200----------	D	W	QFNL	000200	1157	2022-07-15 14:38:06	112280	106706	111012	107477	0	3	11-13,9-11,6-11
2591	TTEMSINGLES-----------QFNL000300----------	S	M	QFNL	000300	1792	2022-07-15 18:42:36	118927		122044		1	3	5-11,11-7,12-14,7-11
2591	TTEWSINGLES-----------QFNL000100----------	S	W	QFNL	000100	2486	2022-07-15 17:56:12	121623		110752		2	3	6-11,7-11,11-9,11-8,8-11
2591	TTEMSINGLES-----------QFNL000200----------	S	M	QFNL	000200	1474	2022-07-15 19:20:05	121558		121582		3	0	11-8,11-4,12-10
2591	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	1957	2022-07-15 13:53:39	123971	105197	103345	102968	3	1	5-11,11-3,13-11,13-11
2591	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	3282	2022-07-15 19:20:08	117821		121411		2	3	7-11,11-9,11-4,7-11,9-11
2591	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	1352	2022-07-15 17:05:56	124110		115543		3	0	13-11,11-6,11-3
2591	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	1278	2022-07-14 13:34:30	112062	131100	102832	111065	3	0	11-9,11-5,11-5
2591	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1152	2022-07-14 14:02:31	121558	121411	107445	100868	3	0	15-13,11-4,11-5
2591	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	2560	2022-07-15 13:03:56	131163	121411	117820	110752	3	1	11-9,8-11,11-8,13-11
2591	TTEWDOUBLES-----------QFNL000300----------	D	W	QFNL	000300	1470	2022-07-15 13:33:20	114105	105159	114706	113300	3	0	11-6,11-8,11-5
2591	TTEMDOUBLES-----------QFNL000200----------	D	M	QFNL	000200	1398	2022-07-15 14:04:36	112442	102380	119284	121514	3	0	11-8,11-8,11-8
2591	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	894	2022-07-14 13:50:52	114715	114726	123980	123672	0	3	2-11,2-11,9-11
2591	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1662	2022-07-15 14:01:25	105649	121558	121582	119565	3	1	11-5,11-6,7-11,11-7
2591	TTEMSINGLES-----------QFNL000100----------	S	M	QFNL	000100	3101	2022-07-15 17:37:25	105649		115910		3	2	11-5,8-11,11-5,9-11,11-9
2591	TTEWSINGLES-----------8FNL000200----------	S	W	8FNL	000200	1311	2022-07-15 08:57:15	110752		118762		3	0	11-3,11-8,11-7
